buyer_id,company,facility_or_scope_hint,source,hypothesized_c,tagged_c,confidence,existing_deployments_signal,internal_automation_expertise_signal,deployment_experience_signal,integration_infra_signal,automation_strategy_signal,procurement_maturity_signal,ops_requirements_clarity_signal,scaling_capability_signal,cams_estimate_0_100,scope_notes,evidence_notes,tagger,tagged_at
B01,Jack Link's Protein Snacks,"Underwood IA plant",forklift_opp_v0_2,C2,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B02,Avery Dennison,"Peachtree City GA",forklift_opp_v0_2,C3,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B03,Pratt Industries,"Sandston VA",forklift_opp_v0_2,C2,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B04,Sika,"Nilai Malaysia plant",forklift_opp_v0_2,C3,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B05,FLOFORM Countertops,"Saskatoon SK",forklift_opp_v0_2,C1,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B06,Riviana Foods,"Memphis TN",material_flow_alpha,C2,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B07,thyssenkrupp Bilstein of America,"Hamilton OH",forklift_opp_v0_2,C3,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B08,Sumitomo Electric Wiring Systems,"El Paso TX",forklift_opp_v0_2,C2,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B09,Reckitt,"Belle Mead NJ",forklift_opp_v0_2,C3,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B10,Hubbell Power Systems,plant-level,forklift_opp_v0_1,C2,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B11,Owens Corning,plant-level,forklift_opp_v0_1,C3,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B12,Nature's Path,plant-level,forklift_opp_v0_1,C1,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B13,Magna,automotive plant,forklift_opp_v0_1,C3,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B14,Unilever,enterprise / plant TBD,forklift_opp_v0_1,C4,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B15,Whirlpool,enterprise / plant TBD,material_flow_alpha,C3,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B16,Forms+Surfaces,plant-level,material_flow_alpha,C1,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B17,Performance Food Group (PFG),distribution network,cal_voice_golden,C3,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B18,Sofidel,tissue manufacturing,cal_opportunity,C2,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B19,Walmart,enterprise automation,known_scaled_operator,C4,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
B20,Amazon,enterprise robotics,known_scaled_operator,C4,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,
