company_id,current_name,object_candidate,url_lookup_name,resolved_url,existing_company_id,existing_company_name,industry,signal_count,signal_types,recommended_action,reason
811,Rivian Spinout Mind Robotics,Mind Robotics,Mind Robotics,,,,Automotive & Manufacturing,2,expansion,rename_candidate_after_review,object candidate extracted from malformed company string; URL resolver not enabled in environment
820,Dutch hospitality operating system Mews,Mews,Mews,,,,Healthcare,3,automation_interest,rename_candidate_after_review,object candidate extracted from malformed company string; URL resolver not enabled in environment
838,MGM Springfield and the technology,MGM Springfield,MGM Springfield,,,,Casinos & Gaming,3,strategic_hire,rename_candidate_after_review,object candidate extracted from malformed company string; URL resolver not enabled in environment
848,Supply chain consultancy SCALA,SCALA,SCALA,,,,Logistics,3,expansion,rename_candidate_after_review,object candidate extracted from malformed company string; URL resolver not enabled in environment
901,Rivian spin-out Mind Robotics,Mind Robotics,Mind Robotics,,,,Automotive & Manufacturing,3,"funding_round,strategic_hire",rename_candidate_after_review,object candidate extracted from malformed company string; URL resolver not enabled in environment
1344,MGM Springfield and,MGM Springfield,MGM Springfield,,,,Casinos & Gaming,3,strategic_hire,rename_candidate_after_review,object candidate extracted from malformed company string; URL resolver not enabled in environment
3867,Oxford Spinout Stateful Robotics,Stateful Robotics,Stateful Robotics,,,,Unknown,2,automation_interest,rename_candidate_after_review,object candidate extracted from malformed company string; URL resolver not enabled in environment
4485,Egis and,Egis,Egis,,,,Airports & Aviation,2,automation_interest,rename_candidate_after_review,object candidate extracted from malformed company string; URL resolver not enabled in environment
6647,Intuitive Surgical and the Robot,Intuitive Surgical,Intuitive Surgical,,1103,Intuitive Surgical,Medical Technology,2,"automation_interest,strategic_hire",merge_into_existing,object candidate already exists as a company row; URL resolver not enabled in environment
6719,NVIDIA and robotics companies,NVIDIA,NVIDIA,,,,Healthcare,1,strategic_hire,rename_candidate_after_review,object candidate extracted from malformed company string; URL resolver not enabled in environment
7022,Nvidia and,Nvidia,Nvidia,,,,Automotive & Manufacturing,1,expansion,rename_candidate_after_review,object candidate extracted from malformed company string; URL resolver not enabled in environment
7203,SUSE and Industry Leaders,SUSE,SUSE,,,,Unknown,1,news,rename_candidate_after_review,object candidate extracted from malformed company string; URL resolver not enabled in environment
7326,BayCare and Robotics Startup Rovex,BayCare,BayCare,,7757,BayCare,Healthcare,1,expansion,merge_into_existing,object candidate already exists as a company row; URL resolver not enabled in environment
