metric,key,target,actual,gap,pct
category_fill,amr_agv_material_transport,80,80,0,100.0
category_fill,autonomous_forklift_pallet,40,40,0,100.0
category_fill,industrial_robot_arms,55,55,0,100.0
category_fill,cobots,40,40,0,100.0
category_fill,picking_manipulation_palletizing,40,40,0,100.0
category_fill,humanoids_general_purpose,50,50,0,100.0
category_fill,cleaning_robots,30,30,0,100.0
category_fill,hospitality_foodservice_delivery,35,35,0,100.0
category_fill,inspection_security_quadrupeds,25,25,0,100.0
category_fill,agriculture,35,35,0,100.0
category_fill,construction,25,25,0,100.0
category_fill,healthcare_hospital_service,20,20,0,100.0
category_fill,last_mile_outdoor_delivery,15,15,0,100.0
category_fill,specialty_commercial,10,10,0,100.0
total_vendors,all,500,500,0,100.0
vendor_role,robot_oem,,488,,97.6
vendor_role,component_supplier,,8,,1.6
vendor_role,system_integrator,,4,,0.8
