vendor_name,family,model_slug,model_name,primary_class,work_to_map,commercial_maturity,calibration_tier,source
Seegrid,Palion,seegrid-palion-lift,Palion Lift,autonomous_lift_tow,"pallets,towing,material_movement",commercial,1,tier1_oem_catalog_v1
Seegrid,Palion,seegrid-palion-tow,Palion Tow,autonomous_tugger,"towing,material_movement",commercial,1,tier1_oem_catalog_v1
Seegrid,Palion,seegrid-palion-lift-rs1,Lift RS1,autonomous_forklift,"low_lift_pallet,parts_to_line",commercial,1,tier1_oem_catalog_v1
Vecna Robotics,AFL / AMR,vecna-afl,Vecna AFL,autonomous_forklift,pallet_movement,commercial,1,tier1_oem_catalog_v1
Vecna Robotics,AFL / AMR,vecna-amr,Vecna AMR,amr,material_transport,commercial,1,tier1_oem_catalog_v1
Vecna Robotics,AFL / AMR,vecna-tugger,Vecna Tugger,autonomous_tugger,line_replenishment,commercial,1,tier1_oem_catalog_v1
Fox Robotics,FoxBot,foxbot-atl,FoxBot ATL,autonomous_forklift,"trailer_loading,trailer_unloading",commercial,1,tier1_oem_catalog_v1
Third Wave Automation,TWA Reach,twa-reach,TWA Reach,autonomous_forklift,warehouse_pallet_handling,pilot,1,tier1_oem_catalog_v1
Cyngn,DriveMod,cyngn-drivemod,DriveMod,autonomous_industrial_vehicle,material_movement,commercial,1,tier1_oem_catalog_v1
OTTO Motors,OTTO family,otto-100,OTTO 100,amr,"material_transport,cart_transport",commercial,1,tier1_oem_catalog_v1
OTTO Motors,OTTO family,otto-750,OTTO 750,amr,material_transport,commercial,1,tier1_oem_catalog_v1
OTTO Motors,OTTO family,otto-1500,OTTO 1500,amr,heavy_material_transport,commercial,1,tier1_oem_catalog_v1
OTTO Motors,OTTO family,otto-lifter,OTTO Lifter,autonomous_forklift,pallet_pickup_drop,commercial,1,tier1_oem_catalog_v1
Mobile Industrial Robots (MiR),MiR AMR,mir-250,MiR250,amr,cart_transport,commercial,1,tier1_oem_catalog_v1
Mobile Industrial Robots (MiR),MiR AMR,mir-600,MiR600,amr,"cart_transport,pallet_transport",commercial,1,tier1_oem_catalog_v1
Mobile Industrial Robots (MiR),MiR AMR,mir-1350,MiR1350,amr,heavy_cart_transport,commercial,1,tier1_oem_catalog_v1
Mobile Industrial Robots (MiR),MiR AMR,mir-1200-pallet-jack,MiR1200 Pallet Jack,pallet_moving_amr,pallet_transport,commercial,1,tier1_oem_catalog_v1
Locus Robotics,LocusOne,locus-origin,Locus Origin,amr,"picking,fulfillment",commercial,1,tier1_oem_catalog_v1
Locus Robotics,LocusOne,locus-vector,Locus Vector,amr,"picking,fulfillment",commercial,1,tier1_oem_catalog_v1
Geekplus,Geekplus AMR,geekplus-p800,Geekplus P800,warehouse_amr,"picking,moving,sorting",commercial,1,tier1_oem_catalog_v1
Geekplus,Geekplus AMR,geekplus-poppick,Geekplus PopPick,goods_to_person,"picking,sorting",commercial,1,tier1_oem_catalog_v1
Geekplus,Geekplus AMR,geekplus-rover,Geekplus Rover,warehouse_amr,"moving,sorting",commercial,1,tier1_oem_catalog_v1
ForwardX Robotics,Flex / Max,forwardx-flex,ForwardX Flex,amr,picking,commercial,1,tier1_oem_catalog_v1
ForwardX Robotics,Flex / Max,forwardx-max,ForwardX Max,amr,pallet_movement,commercial,1,tier1_oem_catalog_v1
GreyOrange,Ranger,greyorange-ranger,Ranger,warehouse_robotics,goods_to_person,commercial,1,tier1_oem_catalog_v1
GreyOrange,Ranger,greyorange-ranger-gtp,Ranger GTP,goods_to_person,goods_to_person,commercial,1,tier1_oem_catalog_v1
Exotec,Skypod,exotec-skypod,Skypod,asrs,"goods_to_person,high_bay_storage",commercial,1,tier1_oem_catalog_v1
Brightpick,Autopicker,brightpick-autopicker,Autopicker,mobile_manipulation,autonomous_picking,commercial,1,tier1_oem_catalog_v1
Dexterity,Dexterity platform,dexterity-platform,Dexterity Robotics Platform,manipulation,"loading,unloading,handling",pilot,1,tier1_oem_catalog_v1
Pickle Robot,Pickle,pickle-robot,Pickle,mobile_manipulation,truck_unloading,commercial,1,tier1_oem_catalog_v1
Mujin,MujinController,mujin-controller,MujinController systems,industrial_manipulation,"palletizing,depalletizing",commercial,1,tier1_oem_catalog_v1
Agility Robotics,Digit,agility-digit,Digit,humanoid,"tote_movement,material_movement",commercial,1,tier1_oem_catalog_v1
Figure,Figure,figure-02,Figure 02,humanoid,"manufacturing,logistics",pilot,1,tier1_oem_catalog_v1
Figure,Figure,figure-01,Figure 01,humanoid,manufacturing,prototype,1,tier1_oem_catalog_v1
Apptronik,Apollo,apptronik-apollo,Apollo,humanoid,"manufacturing,logistics",pilot,1,tier1_oem_catalog_v1
Boston Dynamics,Atlas / Stretch,bd-atlas,Atlas,humanoid,industrial_manipulation,prototype,1,tier1_oem_catalog_v1
Boston Dynamics,Atlas / Stretch,bd-stretch,Stretch,mobile_manipulation,"case_unload,trailer_unload",commercial,1,tier1_oem_catalog_v1
Sanctuary AI,Phoenix,sanctuary-phoenix,Phoenix,humanoid,general_manipulation,pilot,1,tier1_oem_catalog_v1
1X Technologies,NEO,1x-neo,NEO,humanoid,general_physical_tasks,pilot,1,tier1_oem_catalog_v1
Unitree,G1 / H1,unitree-g1,G1,humanoid,"general,research,commercial",commercial,1,tier1_oem_catalog_v1
Unitree,G1 / H1,unitree-h1,H1,humanoid,"general,research",commercial,1,tier1_oem_catalog_v1
UBTECH Robotics,Walker,ubtech-walker,Walker,humanoid,"industrial,manufacturing",pilot,1,tier1_oem_catalog_v1
UBTECH Robotics,Walker,ubtech-walker-s,Walker S,humanoid,"industrial,manufacturing",pilot,1,tier1_oem_catalog_v1
AgiBot,A / X / G,agibot-a,AgiBot A-series,humanoid,"manufacturing,general",pilot,1,tier1_oem_catalog_v1
AgiBot,A / X / G,agibot-x,AgiBot X-series,humanoid,"manufacturing,general",pilot,1,tier1_oem_catalog_v1
AgiBot,A / X / G,agibot-g,AgiBot G-series,humanoid,general,prototype,1,tier1_oem_catalog_v1
Bear Robotics,Servi,bear-servi,Servi,service_amr,"food_delivery,service_delivery",commercial,1,tier1_oem_catalog_v1
Bear Robotics,Servi,bear-servi-plus,Servi Plus,service_amr,"food_delivery,bussing",commercial,1,tier1_oem_catalog_v1
Pudu Robotics,PUDU family,pudu-bellabot,BellaBot,service_cleaning,delivery,commercial,1,tier1_oem_catalog_v1
Pudu Robotics,PUDU family,pudu-flashbot,FlashBot,service_cleaning,delivery,commercial,1,tier1_oem_catalog_v1
Pudu Robotics,PUDU family,pudu-cc1,CC1,cleaning_amr,cleaning,commercial,1,tier1_oem_catalog_v1
Avidbots,Neo,avidbots-neo,Neo,cleaning_amr,commercial_floor_cleaning,commercial,1,tier1_oem_catalog_v1
Brain Corp,BrainOS,brainos-scrubber,BrainOS-powered scrubber,cleaning_autonomy,floor_cleaning,commercial,1,tier1_oem_catalog_v1
Tennant,AMR scrubbers,tennant-amr-scrubber,Tennant AMR scrubber,cleaning_robot,industrial_floor_cleaning,commercial,1,tier1_oem_catalog_v1
MiR (Mobile Industrial Robots),MiR (Mobile Industrial Robots) family,mir-mobile-industrial-robots-mir250,MiR250,amr_agv_material_transport,cart/pallet transport,commercial,2,vendor_primary_robots
MiR (Mobile Industrial Robots),MiR (Mobile Industrial Robots) family,mir-mobile-industrial-robots-600,600,amr_agv_material_transport,cart/pallet transport,commercial,2,vendor_primary_robots
