company_id,current_name,object_candidate,head_object,object_kind,subject_candidate,verb_anchor,entity_type,entity_confidence,candidate_valid,candidate_validation_reason,existing_company_id,existing_company_name,recommended_action,industry,website,signal_count,score_count,evidence
811,Rivian Spinout Mind Robotics,Mind Robotics,Mind Robotics,candidate_object,,,malformed_entity_string,0.78,False,"junk filter: name pattern matches automation/robotics vendor, not a buyer",,,review_candidate_invalid,Automotive & Manufacturing,,2,1,spin-out descriptor precedes a trailing candidate object; candidate object: 'Mind Robotics'
820,Dutch hospitality operating system Mews,Mews,Mews,candidate_object,,,malformed_entity_string,0.78,False,"junk filter: hospitality or logistics tech vendor (sells to operators, not a buyer)",,,review_candidate_invalid,Healthcare,,3,1,descriptor phrase precedes a trailing candidate object; candidate object: 'Mews'
848,Supply chain consultancy SCALA,SCALA,SCALA,candidate_object,,,malformed_entity_string,0.78,True,,,,rename_candidate_after_review,Logistics,,3,1,descriptor phrase precedes a trailing candidate object; candidate object: 'SCALA'
901,Rivian spin-out Mind Robotics,Mind Robotics,Mind Robotics,candidate_object,,,malformed_entity_string,0.78,False,"junk filter: name pattern matches automation/robotics vendor, not a buyer",,,review_candidate_invalid,Automotive & Manufacturing,,3,1,spin-out descriptor precedes a trailing candidate object; candidate object: 'Mind Robotics'
2705,Singapore Champions Robotics Adoption And,,And,unknown,,,malformed_entity_string,0.84,False,no extracted candidate object,,,review_malformed_without_candidate,Healthcare,,1,1,proper-name span embedded in malformed headline fragment; candidate span: 'Singapore Champions Robotics Adoption'
3867,Oxford Spinout Stateful Robotics,Stateful Robotics,Stateful Robotics,candidate_object,,,malformed_entity_string,0.78,False,"junk filter: name pattern matches automation/robotics vendor, not a buyer",,,review_candidate_invalid,Unknown,,2,1,spin-out descriptor precedes a trailing candidate object; candidate object: 'Stateful Robotics'
4485,Egis and,Egis,truncated connector,malformed_entity_string,Egis,,malformed_entity_string,0.84,True,,,,rename_candidate_after_review,Airports & Aviation,,2,1,candidate object embedded in malformed sentence tail; candidate object: 'Egis'
5326,Competitive Strategies and Market Leaders,,Leaders,unknown,,,malformed_entity_string,0.84,False,no extracted candidate object,,,review_malformed_without_candidate,Medical Technology,,1,1,proper-name span embedded in malformed headline fragment; candidate span: 'Competitive Strategies'
5792,AI and Automation Talent Demand Doubles as Tech,,Tech,unknown,,,malformed_entity_string,0.84,False,no extracted candidate object,,,review_malformed_without_candidate,Unknown,,1,0,proper-name span embedded in malformed headline fragment; candidate span: 'AI'
6025,inaugurates Phase II and,,and,sentence_or_headline,,inaugurates,malformed_entity_string,0.84,False,no extracted candidate object,,,review_malformed_without_candidate,Airports & Aviation,,1,0,proper-name span embedded in malformed headline fragment; candidate span: 'inaugurates Phase II'
6101,LigoLab Highlights AI and Automation Insights,,Insights,sentence_or_headline,LigoLab,Highlights,malformed_entity_string,0.84,False,no extracted candidate object,,,review_malformed_without_candidate,Unknown,,2,0,proper-name span embedded in malformed headline fragment; candidate span: 'LigoLab Highlights AI'
6443,Life Science Automation and Robotics Market,,Market,abstract_descriptor,,,malformed_entity_string,0.84,False,no extracted candidate object,,,review_malformed_without_candidate,Automotive & Manufacturing,,1,0,proper-name span embedded in malformed headline fragment; candidate span: 'Life Science Automation'
6647,Intuitive Surgical and the Robot,Intuitive Surgical,Robot,malformed_entity_string,Intuitive Surgical,,malformed_entity_string,0.84,True,,1103,Intuitive Surgical,merge_into_existing,Medical Technology,,2,0,candidate object embedded in malformed sentence tail; candidate object: 'Intuitive Surgical'
6719,NVIDIA and robotics companies,NVIDIA,robot,malformed_entity_string,NVIDIA,,malformed_entity_string,0.84,True,,,,rename_candidate_after_review,Healthcare,,1,0,candidate object embedded in malformed sentence tail; candidate object: 'NVIDIA'
6789,Programs to Codify and,,and,unknown,,,malformed_entity_string,0.84,False,no extracted candidate object,,,review_malformed_without_candidate,Unknown,,1,0,proper-name span embedded in malformed headline fragment; candidate span: 'Programs to Codify'
7022,Nvidia and,Nvidia,truncated connector,malformed_entity_string,Nvidia,,malformed_entity_string,0.84,True,,,,rename_candidate_after_review,Automotive & Manufacturing,,1,0,candidate object embedded in malformed sentence tail; candidate object: 'Nvidia'
7203,SUSE and Industry Leaders,SUSE,Industry,malformed_entity_string,SUSE,,malformed_entity_string,0.84,True,,,,rename_candidate_after_review,Unknown,,1,0,candidate object embedded in malformed sentence tail; candidate object: 'SUSE'
7569,Pacious on AI and,,and,unknown,,,malformed_entity_string,0.84,False,no extracted candidate object,,,review_malformed_without_candidate,Hospitality,,1,0,proper-name span embedded in malformed headline fragment; candidate span: 'Pacious on AI'
7940,AI and robotics poised,,poised,unknown,,,malformed_entity_string,0.84,False,no extracted candidate object,,,review_malformed_without_candidate,Logistics,,1,0,proper-name span embedded in malformed headline fragment; candidate span: 'AI'
