company_id,name,reason_bucket,cleanup_action,entity_type,entity_confidence,entity_evidence,head_object,object_kind,object_candidate,verb_anchor,url_lookup_name,resolved_url,reason,priority_tier,priority_score,industry,signal_count,signal_types
37,Marriott Hotels,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Hotels,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Hospitality,1,news
65,Jones Lang LaSalle (JLL),misattributed_headline,review,company_name,0.95,title-case proper noun; starts with capital letter; compact name (4 word(s)),JLL,unknown,,,,,company name not found in signal text (mis-attributed headline fragment),COLD,0.0,Real Estate & Facilities,4,"capex,labor_shortage,news,strategic_hire"
145,Samsung C&T,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),T,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,4,automation_interest
160,Viega North America,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (3 word(s)),America,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Automotive & Manufacturing,5,"news,strategic_hire"
161,EG America,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),America,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Retail,4,"automation_interest,news,strategic_hire"
172,Palladium Hotel Group,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.92,has legal entity suffix (Inc/LLC/Corp/Ltd/…),Group,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Hospitality,5,"funding_round,news"
182,Six Flags,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Flags,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Media & Publishing,2,"automation_interest,funding_round"
190,Red Lobster,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Lobster,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,6,"news,strategic_hire"
191,Echo Global Logistics,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (3 word(s)),Logistics,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,4,"expansion,ma_activity"
194,Fresh Blends,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Blends,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Healthcare,5,"automation_interest,news,strategic_hire"
208,ECOVACS,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),ECOVACS,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Hospitality,5,automation_interest
220,SpaceX vets,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.7,starts with capital letter; compact name (2 word(s)); no sentence-punctuation,vets,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Datacenters,2,funding_round
222,Smarter,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),Smarter,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,2,news
232,Rowan University,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),University,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Automotive & Manufacturing,3,"expansion,news"
238,CKE Restaurants,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Restaurants,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,2,news
247,US Manufacturers Make Big,headline_or_description,review,article_headline,0.85,conjugated verb present: 'Make',,sentence_or_headline,,Make,,,logic engine: inference gate: classified as article_headline (conf=0.85) — conjugated verb present: 'Make',COLD,0.0,Automotive & Manufacturing,2,news
256,Churchill,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),Churchill,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,2,"automation_interest,expansion"
275,BurgerBots,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),BurgerBots,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,2,"automation_interest,strategic_hire"
