seller_id,company,website_hint,hypothesized_r,tagged_r,confidence,approx_age_years,production_deployments_signal,repeat_customers_signal,vertical_clarity_signal,deployment_methodology_signal,sales_maturity_signal,integration_signal,support_signal,pmf_clarity_signal,rcms_estimate_0_100,evidence_notes,tagger,tagged_at
S01,Reflex Robotics,reflexrobotics.com,R1,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S02,Humanoid,thehumanoid.ai,R1,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S03,Figure,figure.ai,R1,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S04,Apptronik,apptronik.com,R1,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S05,1X Technologies,1x.tech,R1,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S06,Agility Robotics,agilityrobotics.com,R1,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S07,Fox Robotics,foxrobotics.com,R2,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S08,Bear Robotics,bearrobotics.ai,R2,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S09,Dexterity,dexterity.ai,R2,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S10,Brightpick,brightpick.ai,R2,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S11,Cyngn,cyngn.com,R2,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S12,Locus Robotics,locusrobotics.com,R3,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S13,Seegrid,seegrid.com,R3,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S14,Geek+,geekplus.com,R3,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S15,Exotec,exotec.com,R3,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S16,Berkshire Grey,berkshiregrey.com,R3,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S17,Brain Corp,braincorp.com,R3,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S18,Boston Dynamics,bostondynamics.com,R4,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S19,Dematic,dematic.com,R4,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
S20,AutoStore,autostoresystem.com,R4,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,
