company_name,website,country,vendor_role,robot_category,primary_robots,work_type,industries,commercial_maturity,us_availability,sales_model,notes,source,verification,vendor_type
MiR (Mobile Industrial Robots),https://www.mobile-industrial-robots.com,Denmark,robot_oem,amr_agv_material_transport,MiR250/600/1350,cart/pallet transport,Logistics;Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
OTTO Motors,https://ottomotors.com,Canada,robot_oem,amr_agv_material_transport,OTTO 100/750/1500,material transport,Logistics;Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Locus Robotics,https://locusrobotics.com,USA,robot_oem,amr_agv_material_transport,Locus Origin/Vector,picking assist AMR,Logistics;Retail,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Geek+,https://www.geekplus.com,China,robot_oem,amr_agv_material_transport,P800/PopPick,GTP / sorting,Logistics;Retail,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Hai Robotics,https://www.hairobotics.com,China,robot_oem,amr_agv_material_transport,HAIPICK,ACR / tote handling,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Quicktron,https://www.quicktron.com,China,robot_oem,amr_agv_material_transport,Quicktron AMR,warehouse transport,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
ForwardX Robotics,https://www.forwardx.com,China,robot_oem,amr_agv_material_transport,Flex/Max,picking / pallet AMR,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
GreyOrange,https://www.greyorange.com,USA,robot_oem,amr_agv_material_transport,Ranger,GTP,Logistics;Retail,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Exotec,https://www.exotec.com,France,robot_oem,amr_agv_material_transport,Skypod,AS/RS GTP,Logistics;Retail,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Fetch Robotics / Zebra,https://www.zebra.com,USA,robot_oem,amr_agv_material_transport,FetchFreight/Cart,AMR transport,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
