pair_id,seller_id,seller_name,buyer_id,buyer_name,hypothesized_cell,seller_r_confirmed,buyer_c_confirmed,matrix_cell_label,opportunity_maturity_o,what_should_cal_do,would_more_leads_help_hurt_neutral,matrix_holds,revision_note,tagger,tagged_at
P01,S01,Reflex Robotics,B19,Walmart,R1×C4 High maturity gap,,,,,,,
P02,S03,Figure,B20,Amazon,R1×C4 High maturity gap,,,,,,,
P03,S05,1X Technologies,B17,Performance Food Group (PFG),R1×C3 Prepare vendor,,,,,,,
P04,S02,Humanoid,B01,Jack Link's Protein Snacks,R1×C2 Coach robot co.,,,,,,,
P05,S04,Apptronik,B05,FLOFORM Countertops,R1×C1 Guide both,,,,,,,
P06,S06,Agility Robotics,B14,Unilever,R1×C4 High maturity gap,,,,,,,
P07,S08,Bear Robotics,B06,Riviana Foods,R2×C2 Develop fit,,,,,,,
P08,S09,Dexterity,B02,Avery Dennison,R2×C3 Validate fit,,,,,,,
P09,S10,Brightpick,B12,Nature's Path,R2×C1 Guide customer,,,,,,,
P10,S11,Cyngn,B19,Walmart,R2×C4 Enterprise preparation,,,,,,,
P11,S12,Locus Robotics,B17,Performance Food Group (PFG),R3×C3 Strong fit,,,,,,,
P12,S13,Seegrid,B03,Pratt Industries,R3×C2 Match,,,,,,,
P13,S14,Geek+,B20,Amazon,R3×C4 Strategic sale,,,,,,,
P14,S15,Exotec,B16,Forms+Surfaces,R3×C1 Consult,,,,,,,
P15,S16,Berkshire Grey,B09,Reckitt,R3×C3 Strong fit,,,,,,,
P16,S18,Boston Dynamics,B12,Nature's Path,R4×C1 Educate customer,,,,,,,
P17,S19,Dematic,B02,Avery Dennison,R4×C3 Peer engagement,,,,,,,
P18,S20,AutoStore,B19,Walmart,R4×C4 Strategic intelligence,,,,,,,
P19,S07,Fox Robotics,B07,thyssenkrupp Bilstein of America,R2×C3 Validate fit,,,,,,,
P20,S17,Brain Corp,B14,Unilever,R3×C4 Strategic sale,,,,,,,
